name,host_id,borough,neighbourhood,latitude,longitude,room_type,price,minimum_nights
Lovely 2 bedroom w/ jacuzzi  tub. 5mins from JFK,445742022,Queens,Jamaica,40.67530000000000001136868377216160297393798828125,-73.795379999999994424797478131949901580810546875,Entire home/apt,137,1
Cozy Two Bedroom Basement,480980663,Bronx,Unionport,40.82506000000000057070792536251246929168701171875,-73.8510600000000039244696381501853466033935546875,Entire home/apt,130,1
Luxury 2 bedroom in the heart of Park Slope BK,42069602,Brooklyn,South Slope,40.66143000000000284899215330369770526885986328125,-73.985780000000005429683369584381580352783203125,Entire home/apt,202,1
Your Home Away From Home! 2 Relaxing Units,174792040,Manhattan,Midtown,40.75603000000000264435584540478885173797607421875,-73.983170000000001209627953357994556427001953125,Entire home/apt,1136,1
Designer GreenwichVillage 1BA Doorman Wash Sq Park,22129776,Manhattan,Greenwich Village,40.72789999999999821511664777062833309173583984375,-73.99569999999999936335370875895023345947265625,Entire home/apt,513,1
Sleeps 4* Whole Apartment *FREE Breakfast,481408294,Manhattan,Harlem,40.82390199999999680358087061904370784759521484375,-73.946027799999995977486832998692989349365234375,Entire home/apt,143,1
"Lovely 1 bedroom unit in NYC, MSQ, Hudson Yards.",16480700,Manhattan,Chelsea,40.750360000000000582076609134674072265625,-73.9954599999999942383510642684996128082275390625,Entire home/apt,195,1
Beautiful and cozy artist apartment in Brooklyn!,3593603,Brooklyn,Bushwick,40.68663000000000096179064712487161159515380859375,-73.905699999999995952748577110469341278076171875,Entire home/apt,199,1
Amazing loft close to everything,61831388,Brooklyn,Crown Heights,40.6700796254160223952567321248352527618408203125,-73.941917717456817626953125,Entire home/apt,169,1
Sweet 4 bedrooms home in Queens,7599988,Queens,Maspeth,40.724119999999999208739609457552433013916015625,-73.8979599999999976489561959169805049896240234375,Entire home/apt,119,1
2-Bedroom Loft with Full Bathroom in Queens,478853010,Queens,Jamaica,40.6703763000000009242285159416496753692626953125,-73.7693665999999979021595208905637264251708984375,Entire home/apt,200,1
Luxury Loft Near JFK-LGA Airport & NYC,159747439,Queens,Jamaica,40.70450000000000301270119962282478809356689453125,-73.8064399999999949386619846336543560028076171875,Entire home/apt,183,1
Lovely 3-bedroom rental unit with hot tub.,480736889,Queens,Laurelton,40.68290999999999968395059113390743732452392578125,-73.73219000000000278305378742516040802001953125,Entire home/apt,447,1
NYC Hidden Gem 12min to LGA and Citi Field,240306801,Bronx,Throgs Neck,40.8264300000000019963408703915774822235107421875,-73.827010000000001355147105641663074493408203125,Entire home/apt,123,1
Spacious Manhattan Commons with city view!,94684854,Manhattan,Harlem,40.810714999999987639967002905905246734619140625,-73.949793099999993728488334454596042633056640625,Entire home/apt,280,1
Chic & Cozy Lower Apartment,29344465,Brooklyn,East Flatbush,40.6454599999999999226929503493010997772216796875,-73.9428999999999945202944218181073665618896484375,Entire home/apt,100,1
"King Size Bed & Patio, 15 Mins from NYC Airports",439023889,Queens,Flushing,40.72664999999999935198502498678863048553466796875,-73.8049299999999988131094141863286495208740234375,Entire home/apt,236,1
Stylish Crown Heights Apt,475785151,Brooklyn,Crown Heights,40.6737600000000014688339433632791042327880859375,-73.93112999999999601641320623457431793212890625,Entire home/apt,136,1
Musicians Bungalow Apartment,1535300,Brooklyn,Bushwick,40.6864699999999999135980033315718173980712890625,-73.908690000000007103153620846569538116455078125,Entire home/apt,154,1
Hidden Gem Near Times Square!,334448475,Manhattan,Hell's Kitchen,40.7591699999999974579623085446655750274658203125,-73.994180000000000063664629124104976654052734375,Entire home/apt,658,1
NICE! 1 BR + 1 living room with sofa bed,348427562,Brooklyn,Williamsburg,40.709477687895997632949729450047016143798828125,-73.948249434918210454270592890679836273193359375,Entire home/apt,365,1
Lovely two bedroom apartment in a Bronx Townhouse,10580254,Bronx,Mount Hope,40.8472900000000009868017514236271381378173828125,-73.9054200000000065529093262739479541778564453125,Entire home/apt,160,1
Your Home Away From Home! Near Central Park,174792040,Manhattan,Theater District,40.7573399999999992360244505107402801513671875,-73.98403999999999314240994863212108612060546875,Entire home/apt,568,1
Comfort and Convenience! Pet-Friendly Property,174792040,Manhattan,Theater District,40.7575700000000011868905858136713504791259765625,-73.9832899999999966667019180022180080413818359375,Entire home/apt,568,1
"Prime Location! Pets Allowed, Near Times Square",174792040,Manhattan,Theater District,40.75704999999999955662133288569748401641845703125,-73.9835900000000066256689024157822132110595703125,Entire home/apt,568,1
Artist's Loft (Williamsburg) feat. by NYTimes,48708430,Brooklyn,Williamsburg,40.7080600000000032423486118204891681671142578125,-73.9675600000000059708327171392738819122314453125,Entire home/apt,1200,1
Lovely Soho Studio,23566374,Manhattan,SoHo,40.7251399167836183323743171058595180511474609375,-74.0001033913425345645009656436741352081298828125,Entire home/apt,319,1
The G Spot This Place is Amazing,442137835,Brooklyn,East New York,40.66143000000000284899215330369770526885986328125,-73.89461000000000012732925824820995330810546875,Entire home/apt,158,1
Artist’s Haven 2-BR Brooklyn Brownstone in PLG,2449215,Brooklyn,Prospect-Lefferts Gardens,40.65936289999999786459738970734179019927978515625,-73.959780999999992445737007074058055877685546875,Entire home/apt,280,1
Elegant  3 Bedroom in New York City,481994804,Manhattan,Chelsea,40.74568570000000278241714113391935825347900390625,-73.9911006999999898425812716595828533172607421875,Entire home/apt,509,1
Homey 3BR/1BA Apt in Kips Bay!,471970176,Manhattan,Kips Bay,40.74465000000000003410605131648480892181396484375,-73.9777500000000003410605131648480892181396484375,Entire home/apt,561,1
Cheerful 4 bedrooms home 20 min to Manhattan,413485013,Queens,Rego Park,40.7254999999999967030817060731351375579833984375,-73.8596500000000020236257114447653293609619140625,Entire home/apt,438,1
Contemporary Two bedroom apartment with rooftop.,25770205,Brooklyn,Bedford-Stuyvesant,40.68063000000000073441697168163955211639404296875,-73.90955999999999903593561612069606781005859375,Entire home/apt,125,1
The Ritz Plaza One BD Apt,482318049,Manhattan,Hell's Kitchen,40.76127000000000322188498103059828281402587890625,-73.9873199999999968667907523922622203826904296875,Entire home/apt,168,1
Cozy 2-bedroom unit in very Quiet area of Queens,145249464,Queens,St. Albans,40.69763999999999981582732289098203182220458984375,-73.7737800000000021327650756575167179107666015625,Entire home/apt,140,1
Lovely 3 bedroom duplex in a quiet neighborhood,44695225,Queens,Queens Village,40.703000000000002955857780762016773223876953125,-73.7478799999999949932316667400300502777099609375,Entire home/apt,164,1
"Adorable 1 bedroom, private entrance.",398867059,Queens,Ditmars Steinway,40.769456754640572171410894952714443206787109375,-73.8961686193943023681640625,Entire home/apt,85,1
House with Large Backyard,70410029,Brooklyn,East New York,40.6743258999999994784957380034029483795166015625,-73.8924064999999927749740891158580780029296875,Entire home/apt,3000,1
